generation,mse_best,mse_median,k_mlp,k_proteins,k_total,k_mlp_ratio,fitness_best,fitness_median,age_max,threshold,n0_sat,n1_sat,n2_sat,n3_sat
0,0.36650240421295166,0.8552613258361816,0,1,1,0.0,-0.3255373239517212,-0.8607044219970703,0,0.95,0.009999999776482582,0.029999999329447746,0.019999999552965164,0.07999999821186066
1,0.36650240421295166,0.6391118764877319,0,1,1,0.0,-0.3255373239517212,-0.6343477368354797,1,0.95,0.009999999776482582,0.029999999329447746,0.019999999552965164,0.07999999821186066
2,0.327798455953598,0.5635689496994019,0,0,0,0.0,-0.3169117271900177,-0.555898129940033,2,0.95,0.029999999329447746,0.07999999821186066,0.05999999865889549,0.07999999821186066
3,0.2567637264728546,0.4807405173778534,0,0,0,0.0,-0.24784331023693085,-0.4674793481826782,3,0.95,0.05999999865889549,0.08999999612569809,0.07999999821186066,0.1599999964237213
4,0.2567637264728546,0.4362727999687195,0,0,0,0.0,-0.24784331023693085,-0.4154818654060364,4,0.95,0.05999999865889549,0.08999999612569809,0.07999999821186066,0.1599999964237213
5,0.2567637264728546,0.37430793046951294,0,0,0,0.0,-0.24784331023693085,-0.34076887369155884,5,0.95,0.05999999865889549,0.08999999612569809,0.07999999821186066,0.1599999964237213
6,0.2567637264728546,0.33256563544273376,0,0,0,0.0,-0.23407422006130219,-0.3127223253250122,6,0.95,0.26999998092651367,0.08999999612569809,0.12999999523162842,0.1599999964237213
7,0.24473105370998383,0.30522966384887695,0,0,0,0.0,-0.23369200527668,-0.29146867990493774,4,0.95,0.11999999731779099,0.14000000059604645,0.12999999523162842,0.10999999940395355
8,0.2419237345457077,0.27596527338027954,0,0,0,0.0,-0.23369200527668,-0.27084511518478394,5,0.95,0.11999999731779099,0.14000000059604645,0.12999999523162842,0.10999999940395355
9,0.24071884155273438,0.27596527338027954,0,0,0,0.0,-0.2211412489414215,-0.2586139440536499,6,0.95,0.4399999976158142,0.1599999964237213,0.2800000011920929,0.25
10,0.2250482141971588,0.2731112241744995,0,0,0,0.0,-0.18444868922233582,-0.24716594815254211,7,0.95,0.17999999225139618,0.10999999940395355,0.11999999731779099,0.14999999105930328
11,0.22088100016117096,0.2670278549194336,0,0,0,0.0,-0.17665690183639526,-0.2396320402622223,5,0.95,0.17000000178813934,0.14000000059604645,0.12999999523162842,0.11999999731779099
12,0.21330003440380096,0.2526632249355316,0,0,0,0.0,-0.17434416711330414,-0.22570690512657166,6,0.95,0.4699999988079071,0.2199999988079071,0.38999998569488525,0.29999998211860657
13,0.19562220573425293,0.25479573011398315,0,0,0,0.0,-0.15451912581920624,-0.21659033000469208,4,0.95,0.28999999165534973,0.17999999225139618,0.10999999940395355,0.11999999731779099
14,0.19562220573425293,0.2400439977645874,0,0,0,0.0,-0.15451912581920624,-0.20722752809524536,4,0.95,0.28999999165534973,0.17999999225139618,0.10999999940395355,0.11999999731779099
15,0.18952342867851257,0.2317783534526825,0,0,0,0.0,-0.153187558054924,-0.19004739820957184,5,0.95,0.4099999964237213,0.1899999976158142,0.08999999612569809,0.12999999523162842
