generation,mse_best,mse_median,k_mlp,k_proteins,k_total,k_mlp_ratio,fitness_best,fitness_median,age_max,threshold,n0_sat,n1_sat,n2_sat,n3_sat,n4_sat,n5_sat,n6_sat,n7_sat,n8_sat,n9_sat,n10_sat,n11_sat,n12_sat,n13_sat,n14_sat,n15_sat,n16_sat,n17_sat,n18_sat,n19_sat,n20_sat,n21_sat,n22_sat,n23_sat,n24_sat,n25_sat,n26_sat,n27_sat,n28_sat,n29_sat,n30_sat,n31_sat
0,0.6140541434288025,0.8707506656646729,1,1,2,0.03125,-0.56974196434021,-0.8349812030792236,0,0.95,0.03999999910593033,0.14000000059604645,0.03999999910593033,0.14000000059604645,0.029999999329447746,0.17999999225139618,0.14000000059604645,0.09999999403953552,0.009999999776482582,0.0,0.5099999904632568,0.2199999988079071,0.11999999731779099,0.07999999821186066,0.07000000029802322,0.11999999731779099,0.10999999940395355,0.07999999821186066,0.029999999329447746,0.04999999701976776,0.04999999701976776,0.07999999821186066,0.029999999329447746,0.009999999776482582,0.0,0.029999999329447746,0.17999999225139618,0.019999999552965164,0.09999999403953552,0.09999999403953552,0.08999999612569809,0.009999999776482582
1,0.5372195243835449,0.7471469640731812,0,0,0,0.0,-0.5169259309768677,-0.7226417064666748,1,0.95,0.1899999976158142,0.35999998450279236,0.09999999403953552,0.1599999964237213,0.25,0.17999999225139618,0.04999999701976776,0.03999999910593033,0.0,0.1599999964237213,0.07999999821186066,0.11999999731779099,0.019999999552965164,0.07999999821186066,0.08999999612569809,0.09999999403953552,0.05999999865889549,0.07000000029802322,0.14999999105930328,0.23999999463558197,0.03999999910593033,0.04999999701976776,0.08999999612569809,0.08999999612569809,0.08999999612569809,0.2199999988079071,0.07000000029802322,0.029999999329447746,0.09999999403953552,0.03999999910593033,0.19999998807907104,0.11999999731779099
2,0.5286568403244019,0.7195366621017456,1,0,1,0.03125,-0.5021213293075562,-0.6446846723556519,2,0.95,0.10999999940395355,0.19999998807907104,0.11999999731779099,0.25,0.05999999865889549,0.12999999523162842,0.14000000059604645,0.17000000178813934,0.019999999552965164,0.1599999964237213,0.5299999713897705,0.17999999225139618,0.17999999225139618,0.14999999105930328,0.12999999523162842,0.10999999940395355,0.19999998807907104,0.17000000178813934,0.03999999910593033,0.14000000059604645,0.07000000029802322,0.07999999821186066,0.07999999821186066,0.029999999329447746,0.0,0.05999999865889549,0.17000000178813934,0.08999999612569809,0.17000000178813934,0.09999999403953552,0.1599999964237213,0.03999999910593033
3,0.5263674259185791,0.6446017026901245,1,0,1,0.03125,-0.5021213293075562,-0.6077948212623596,3,0.95,0.10999999940395355,0.19999998807907104,0.11999999731779099,0.25,0.05999999865889549,0.12999999523162842,0.14000000059604645,0.17000000178813934,0.019999999552965164,0.1599999964237213,0.5299999713897705,0.17999999225139618,0.17999999225139618,0.14999999105930328,0.12999999523162842,0.10999999940395355,0.19999998807907104,0.17000000178813934,0.03999999910593033,0.14000000059604645,0.07000000029802322,0.07999999821186066,0.07999999821186066,0.029999999329447746,0.0,0.05999999865889549,0.17000000178813934,0.08999999612569809,0.17000000178813934,0.09999999403953552,0.1599999964237213,0.03999999910593033
4,0.46505552530288696,0.605640709400177,0,0,0,0.0,-0.40780383348464966,-0.5588307976722717,4,0.95,0.12999999523162842,0.14999999105930328,0.08999999612569809,0.05999999865889549,0.44999998807907104,0.32999998331069946,0.1599999964237213,0.07000000029802322,0.2800000011920929,0.14999999105930328,0.04999999701976776,0.1899999976158142,0.07000000029802322,0.07999999821186066,0.14999999105930328,0.14000000059604645,0.22999998927116394,0.14000000059604645,0.1899999976158142,0.11999999731779099,0.14999999105930328,0.1899999976158142,0.03999999910593033,0.10999999940395355,0.07000000029802322,0.1899999976158142,0.3100000023841858,0.25999999046325684,0.10999999940395355,0.07999999821186066,0.05999999865889549,0.05999999865889549
5,0.4089294373989105,0.5565099716186523,0,0,0,0.0,-0.3578222692012787,-0.5283698439598083,4,0.95,0.1599999964237213,0.12999999523162842,0.10999999940395355,0.12999999523162842,0.4699999988079071,0.32999998331069946,0.11999999731779099,0.08999999612569809,0.28999999165534973,0.20999999344348907,0.14000000059604645,0.17999999225139618,0.04999999701976776,0.08999999612569809,0.17000000178813934,0.17000000178813934,0.17999999225139618,0.1899999976158142,0.1599999964237213,0.23999999463558197,0.20999999344348907,0.22999998927116394,0.10999999940395355,0.17000000178813934,0.10999999940395355,0.2199999988079071,0.20999999344348907,0.23999999463558197,0.10999999940395355,0.12999999523162842,0.07000000029802322,0.05999999865889549
6,0.4089294373989105,0.5292834043502808,0,0,0,0.0,-0.3578222692012787,-0.5135875940322876,5,0.95,0.1599999964237213,0.12999999523162842,0.10999999940395355,0.12999999523162842,0.4699999988079071,0.32999998331069946,0.11999999731779099,0.08999999612569809,0.28999999165534973,0.20999999344348907,0.14000000059604645,0.17999999225139618,0.04999999701976776,0.08999999612569809,0.17000000178813934,0.17000000178813934,0.17999999225139618,0.1899999976158142,0.1599999964237213,0.23999999463558197,0.20999999344348907,0.22999998927116394,0.10999999940395355,0.17000000178813934,0.10999999940395355,0.2199999988079071,0.20999999344348907,0.23999999463558197,0.10999999940395355,0.12999999523162842,0.07000000029802322,0.05999999865889549
7,0.3899925649166107,0.5006012916564941,0,0,0,0.0,-0.3578222692012787,-0.461758553981781,5,0.95,0.1599999964237213,0.12999999523162842,0.10999999940395355,0.12999999523162842,0.4699999988079071,0.32999998331069946,0.11999999731779099,0.08999999612569809,0.28999999165534973,0.20999999344348907,0.14000000059604645,0.17999999225139618,0.04999999701976776,0.08999999612569809,0.17000000178813934,0.17000000178813934,0.17999999225139618,0.1899999976158142,0.1599999964237213,0.23999999463558197,0.20999999344348907,0.22999998927116394,0.10999999940395355,0.17000000178813934,0.10999999940395355,0.2199999988079071,0.20999999344348907,0.23999999463558197,0.10999999940395355,0.12999999523162842,0.07000000029802322,0.05999999865889549
8,0.3899925649166107,0.46770793199539185,0,1,1,0.0,-0.3512405455112457,-0.42532822489738464,4,0.95,0.14999999105930328,0.20999999344348907,0.12999999523162842,0.07999999821186066,0.3799999952316284,0.1899999976158142,0.14999999105930328,0.08999999612569809,0.28999999165534973,0.1899999976158142,0.09999999403953552,0.2199999988079071,0.08999999612569809,0.07999999821186066,0.19999998807907104,0.17000000178813934,0.26999998092651367,0.20999999344348907,0.3700000047683716,0.17000000178813934,0.1599999964237213,0.09999999403953552,0.1599999964237213,0.08999999612569809,0.08999999612569809,0.1899999976158142,0.3499999940395355,0.1899999976158142,0.12999999523162842,0.09999999403953552,0.08999999612569809,0.07999999821186066
9,0.3899925649166107,0.4649609625339508,0,1,1,0.0,-0.33474355936050415,-0.411283016204834,5,0.95,0.1599999964237213,0.1899999976158142,0.11999999731779099,0.07000000029802322,0.44999998807907104,0.2199999988079071,0.17000000178813934,0.20999999344348907,0.28999999165534973,0.1899999976158142,0.17000000178813934,0.25,0.11999999731779099,0.11999999731779099,0.25,0.17999999225139618,0.2800000011920929,0.25999999046325684,0.3100000023841858,0.17000000178813934,0.11999999731779099,0.14999999105930328,0.14999999105930328,0.22999998927116394,0.14000000059604645,0.17999999225139618,0.3799999952316284,0.2199999988079071,0.12999999523162842,0.14999999105930328,0.08999999612569809,0.1599999964237213
10,0.3899925649166107,0.46014994382858276,0,1,1,0.0,-0.32053059339523315,-0.3958311676979065,6,0.95,0.17000000178813934,0.1899999976158142,0.1599999964237213,0.08999999612569809,0.4599999785423279,0.2199999988079071,0.14999999105930328,0.17000000178813934,0.3199999928474426,0.20999999344348907,0.12999999523162842,0.26999998092651367,0.08999999612569809,0.08999999612569809,0.17999999225139618,0.14000000059604645,0.3499999940395355,0.23999999463558197,0.44999998807907104,0.14000000059604645,0.07000000029802322,0.14999999105930328,0.23999999463558197,0.07999999821186066,0.11999999731779099,0.14999999105930328,0.3199999928474426,0.19999998807907104,0.17999999225139618,0.10999999940395355,0.09999999403953552,0.14000000059604645
