generation,mse_best,mse_median,k_mlp,k_proteins,k_total,k_mlp_ratio,fitness_best,fitness_median,age_max,threshold,n0_sat,n1_sat,n2_sat,n3_sat,n4_sat,n5_sat,n6_sat,n7_sat
0,0.3284403681755066,0.6469958424568176,0,0,0,0.0,-0.3054998815059662,-0.6519702672958374,0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.3284403681755066,0.4824306070804596,0,1,1,0.0,-0.29321879148483276,-0.4761171340942383,1,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.30718404054641724,0.4433971643447876,0,1,1,0.0,-0.2649485766887665,-0.4293915033340454,2,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.2971963882446289,0.36219897866249084,0,1,1,0.0,-0.23847723007202148,-0.3611711859703064,3,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.26832062005996704,0.33889099955558777,0,1,1,0.0,-0.20856447517871857,-0.30913692712783813,4,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.26832062005996704,0.31042778491973877,0,0,0,0.0,-0.20674347877502441,-0.27792415022850037,5,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.25186192989349365,0.29879438877105713,0,1,1,0.0,-0.19243864715099335,-0.2587815523147583,4,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.22915349900722504,0.2973235547542572,0,1,1,0.0,-0.17222756147384644,-0.2431289255619049,4,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.2213234305381775,0.29620668292045593,0,1,1,0.0,-0.12805604934692383,-0.2260497510433197,5,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.14438000321388245,0.2891257405281067,0,1,1,0.0,-0.10526621341705322,-0.2076539695262909,5,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.14438000321388245,0.26654043793678284,0,1,1,0.0,-0.10526621341705322,-0.178654745221138,5,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.12304677814245224,0.24761472642421722,0,1,1,0.0,-0.10526621341705322,-0.15109550952911377,4,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.12304677814245224,0.23792764544487,0,1,1,0.0,-0.09039932489395142,-0.1339481770992279,4,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.12300922721624374,0.22891390323638916,0,1,1,0.0,-0.09039932489395142,-0.1194162592291832,5,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.12300922721624374,0.21814237534999847,0,1,1,0.0,-0.06537777930498123,-0.11387348920106888,5,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.16613435745239258,0.21368905901908875,0,1,1,0.0,-0.0653567761182785,-0.10811564326286316,6,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.1490422487258911,0.20028327405452728,0,1,1,0.0,-0.05324121192097664,-0.09509114921092987,7,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.1447533816099167,0.1799677312374115,0,1,1,0.0,-0.05179222673177719,-0.08333688974380493,5,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.11991089582443237,0.17232745885849,0,1,1,0.0,-0.04632057994604111,-0.07184774428606033,4,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.11654748767614365,0.15855653584003448,0,1,1,0.0,-0.04542461782693863,-0.062359027564525604,5,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.11021817475557327,0.1453525424003601,0,1,1,0.0,-0.0408828929066658,-0.0555221363902092,4,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.10362821817398071,0.13766980171203613,0,1,1,0.0,-0.04086935147643089,-0.04988832026720047,5,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.09252645820379257,0.12072394788265228,0,1,1,0.0,-0.03795554116368294,-0.04727867245674133,4,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.07971561700105667,0.10965794324874878,0,0,0,0.0,-0.03377136215567589,-0.04419761896133423,5,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.07803909480571747,0.10421916842460632,0,0,0,0.0,-0.03338361531496048,-0.04005226492881775,4,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.06966690719127655,0.09463439881801605,0,1,1,0.0,-0.031179871410131454,-0.037993721663951874,3,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.06966690719127655,0.08988853543996811,0,1,1,0.0,-0.031179871410131454,-0.03676750883460045,4,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0689651295542717,0.08549624681472778,0,1,1,0.0,-0.029567208141088486,-0.03485630080103874,4,0.95,0.0,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0
28,0.06689872592687607,0.0816335380077362,0,1,1,0.0,-0.02924087829887867,-0.034392304718494415,5,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.06036116182804108,0.07943996787071228,0,1,1,0.0,-0.025570333003997803,-0.03371121734380722,6,0.95,0.0,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.019999999552965164
30,0.06036116182804108,0.0753927230834961,0,1,1,0.0,-0.025570333003997803,-0.031752876937389374,6,0.95,0.0,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.019999999552965164
31,0.0636867880821228,0.07370267063379288,0,1,1,0.0,-0.025570333003997803,-0.030767548829317093,6,0.95,0.0,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.019999999552965164
32,0.0636867880821228,0.07289494574069977,0,1,1,0.0,-0.025127777829766273,-0.029404044151306152,5,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999776482582
33,0.06229188293218613,0.07108168303966522,0,1,1,0.0,-0.021363798528909683,-0.028257479891180992,5,0.95,0.0,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.019999999552965164
34,0.05852692574262619,0.0694938451051712,0,1,1,0.0,-0.021363798528909683,-0.027007125318050385,5,0.95,0.0,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.019999999552965164
35,0.05459031090140343,0.06702286005020142,0,1,1,0.0,-0.020233744755387306,-0.025564951822161674,6,0.95,0.0,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.019999999552965164
36,0.0490940697491169,0.06408948451280594,0,1,1,0.0,-0.019277242943644524,-0.02394203096628189,4,0.95,0.0,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.019999999552965164
37,0.04771941527724266,0.06243531033396721,0,1,1,0.0,-0.018189536407589912,-0.023123793303966522,4,0.95,0.0,0.009999999776482582,0.0,0.0,0.009999999776482582,0.0,0.0,0.019999999552965164
38,0.04633640870451927,0.06004970148205757,0,1,1,0.0,-0.018189536407589912,-0.02091226540505886,5,0.95,0.0,0.009999999776482582,0.0,0.0,0.009999999776482582,0.0,0.0,0.019999999552965164
39,0.04771941527724266,0.05803779140114784,0,1,1,0.0,-0.018189536407589912,-0.02003178559243679,4,0.95,0.0,0.009999999776482582,0.0,0.0,0.009999999776482582,0.0,0.0,0.019999999552965164
40,0.04771941527724266,0.05845186114311218,0,1,1,0.0,-0.01709972694516182,-0.019631076604127884,4,0.95,0.0,0.03999999910593033,0.009999999776482582,0.0,0.029999999329447746,0.0,0.0,0.0
41,0.04701706022024155,0.05911409854888916,0,0,0,0.0,-0.0157609935849905,-0.019227735698223114,5,0.95,0.0,0.029999999329447746,0.0,0.0,0.0,0.0,0.0,0.0
42,0.04701706022024155,0.05860944837331772,0,1,1,0.0,-0.014873668551445007,-0.018826205283403397,5,0.95,0.0,0.05000000074505806,0.0,0.0,0.019999999552965164,0.0,0.0,0.0
43,0.046553678810596466,0.059050850570201874,0,1,1,0.0,-0.014873668551445007,-0.018621932715177536,6,0.95,0.0,0.05000000074505806,0.0,0.0,0.019999999552965164,0.0,0.0,0.0
44,0.04306599125266075,0.05537606403231621,0,1,1,0.0,-0.014255084097385406,-0.018180832266807556,7,0.95,0.0,0.05000000074505806,0.009999999776482582,0.0,0.03999999910593033,0.0,0.0,0.0
45,0.03586722910404205,0.05344986915588379,0,1,1,0.0,-0.011609967797994614,-0.0165444016456604,5,0.95,0.0,0.05000000074505806,0.03999999910593033,0.0,0.05000000074505806,0.0,0.0,0.0
46,0.03586722910404205,0.05130178853869438,0,1,1,0.0,-0.011609967797994614,-0.015736984089016914,5,0.95,0.0,0.05000000074505806,0.03999999910593033,0.0,0.05000000074505806,0.0,0.0,0.0
47,0.032257307320833206,0.049422793090343475,0,1,1,0.0,-0.01028294488787651,-0.015232854522764683,5,0.95,0.0,0.05000000074505806,0.05000000074505806,0.0,0.05000000074505806,0.0,0.0,0.0
48,0.032257307320833206,0.04845140874385834,0,1,1,0.0,-0.01028294488787651,-0.014525197446346283,6,0.95,0.0,0.05000000074505806,0.05000000074505806,0.0,0.05000000074505806,0.0,0.0,0.0
49,0.02780839428305626,0.042870089411735535,0,1,1,0.0,-0.01028294488787651,-0.01367860846221447,5,0.95,0.0,0.05000000074505806,0.05000000074505806,0.0,0.05000000074505806,0.0,0.0,0.0
50,0.02780839428305626,0.04017522186040878,0,1,1,0.0,-0.01028294488787651,-0.012962600216269493,5,0.95,0.0,0.05000000074505806,0.05000000074505806,0.0,0.05000000074505806,0.0,0.0,0.0
51,0.02780839428305626,0.037419479340314865,0,1,1,0.0,-0.009289153851568699,-0.011956308037042618,6,0.95,0.0,0.05999999865889549,0.05000000074505806,0.0,0.03999999910593033,0.0,0.0,0.0
52,0.025050044059753418,0.03585518151521683,0,1,1,0.0,-0.00812943372875452,-0.011048315092921257,7,0.95,0.0,0.05999999865889549,0.009999999776482582,0.0,0.0,0.0,0.0,0.0
53,0.025050044059753418,0.036942340433597565,0,1,1,0.0,-0.00812943372875452,-0.010857494547963142,6,0.95,0.0,0.05999999865889549,0.009999999776482582,0.0,0.0,0.0,0.0,0.0
54,0.025050044059753418,0.036688610911369324,0,1,1,0.0,-0.007852958515286446,-0.010703169740736485,7,0.95,0.0,0.05999999865889549,0.07000000029802322,0.0,0.05999999865889549,0.0,0.0,0.0
55,0.022552328184247017,0.035915032029151917,0,1,1,0.0,-0.00618157722055912,-0.010171418078243732,8,0.95,0.0,0.05999999865889549,0.05000000074505806,0.0,0.03999999910593033,0.0,0.0,0.0
56,0.022552328184247017,0.03422340750694275,0,1,1,0.0,-0.00618157722055912,-0.00953889824450016,5,0.95,0.0,0.05999999865889549,0.05000000074505806,0.0,0.03999999910593033,0.0,0.0,0.0
57,0.024299954995512962,0.03427386283874512,0,1,1,0.0,-0.005645067431032658,-0.00921978335827589,6,0.95,0.0,0.07000000029802322,0.05999999865889549,0.0,0.029999999329447746,0.0,0.0,0.0
58,0.02362634614109993,0.0340515598654747,0,1,1,0.0,-0.004472287837415934,-0.008641712367534637,6,0.95,0.0,0.05999999865889549,0.05000000074505806,0.0,0.029999999329447746,0.0,0.0,0.0
59,0.02362634614109993,0.033196017146110535,0,1,1,0.0,-0.004472287837415934,-0.008204041048884392,7,0.95,0.0,0.05999999865889549,0.05000000074505806,0.0,0.029999999329447746,0.0,0.0,0.0
60,0.021114077419042587,0.031956396996974945,0,1,1,0.0,-0.0040290988981723785,-0.007068825885653496,8,0.95,0.0,0.07000000029802322,0.05000000074505806,0.0,0.03999999910593033,0.0,0.019999999552965164,0.0
61,0.021114077419042587,0.03214283287525177,0,1,1,0.0,-0.0040290988981723785,-0.006768194958567619,6,0.95,0.0,0.07000000029802322,0.05000000074505806,0.0,0.03999999910593033,0.0,0.019999999552965164,0.0
62,0.01762666553258896,0.03073708526790142,0,1,1,0.0,-0.0031916170846670866,-0.006204686127603054,7,0.95,0.0,0.07000000029802322,0.05000000074505806,0.0,0.009999999776482582,0.0,0.019999999552965164,0.0
63,0.016639528796076775,0.028694210574030876,0,1,1,0.0,-0.0031916170846670866,-0.006166402250528336,8,0.95,0.0,0.07000000029802322,0.05000000074505806,0.0,0.009999999776482582,0.0,0.019999999552965164,0.0
64,0.016639528796076775,0.029416929930448532,0,1,1,0.0,-0.003116556443274021,-0.005751405842602253,7,0.95,0.0,0.07000000029802322,0.05000000074505806,0.0,0.029999999329447746,0.0,0.019999999552965164,0.0
65,0.016639528796076775,0.03113538771867752,0,1,1,0.0,-0.002401607343927026,-0.005508193280547857,8,0.95,0.0,0.07000000029802322,0.05000000074505806,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
