generation,mse_best,mse_median,k_mlp,k_proteins,k_total,k_mlp_ratio,fitness_best,fitness_median,age_max,threshold,n0_sat,n1_sat,n2_sat,n3_sat,n4_sat,n5_sat,n6_sat,n7_sat
0,0.529621422290802,0.8008610010147095,0,1,1,0.0,-0.45290669798851013,-0.8314985632896423,0,0.95,0.03999999910593033,0.11999999731779099,0.10999999940395355,0.05999999865889549,0.05999999865889549,0.0,0.029999999329447746,0.10000000149011612
1,0.529621422290802,0.6722093820571899,0,1,1,0.0,-0.45290669798851013,-0.6704161763191223,1,0.95,0.03999999910593033,0.11999999731779099,0.10999999940395355,0.05999999865889549,0.05999999865889549,0.0,0.029999999329447746,0.10000000149011612
2,0.5291675329208374,0.5754396915435791,0,0,0,0.0,-0.4484063386917114,-0.5393689870834351,2,0.95,0.07000000029802322,0.07999999821186066,0.10999999940395355,0.05999999865889549,0.07000000029802322,0.0,0.029999999329447746,0.07999999821186066
3,0.5291675329208374,0.5632132887840271,0,0,0,0.0,-0.4300301671028137,-0.5112416744232178,3,0.95,0.029999999329447746,0.07999999821186066,0.10000000149011612,0.05999999865889549,0.05999999865889549,0.0,0.009999999776482582,0.10999999940395355
4,0.5019614696502686,0.5504788160324097,0,0,0,0.0,-0.39459115266799927,-0.48784178495407104,4,0.95,0.03999999910593033,0.05000000074505806,0.10000000149011612,0.05999999865889549,0.07999999821186066,0.0,0.029999999329447746,0.10999999940395355
5,0.4762432873249054,0.5475263595581055,0,0,0,0.0,-0.39459115266799927,-0.47142696380615234,5,0.95,0.03999999910593033,0.05000000074505806,0.10000000149011612,0.05999999865889549,0.07999999821186066,0.0,0.029999999329447746,0.10999999940395355
6,0.4762432873249054,0.5457393527030945,0,0,0,0.0,-0.3667536675930023,-0.4493865370750427,6,0.95,0.03999999910593033,0.07000000029802322,0.07999999821186066,0.05000000074505806,0.09000000357627869,0.009999999776482582,0.05000000074505806,0.10999999940395355
7,0.43921685218811035,0.5285053253173828,0,0,0,0.0,-0.3667536675930023,-0.43401455879211426,5,0.95,0.03999999910593033,0.07000000029802322,0.07999999821186066,0.05000000074505806,0.09000000357627869,0.009999999776482582,0.05000000074505806,0.10999999940395355
8,0.43921685218811035,0.5231841802597046,0,1,1,0.0,-0.35977903008461,-0.4197383522987366,5,0.95,0.029999999329447746,0.029999999329447746,0.10999999940395355,0.07000000029802322,0.07000000029802322,0.0,0.029999999329447746,0.11999999731779099
9,0.43921685218811035,0.5273723602294922,0,1,1,0.0,-0.32080140709877014,-0.39794158935546875,5,0.95,0.05999999865889549,0.05000000074505806,0.07999999821186066,0.10000000149011612,0.07000000029802322,0.009999999776482582,0.03999999910593033,0.12999999523162842
10,0.43921685218811035,0.5203830003738403,0,1,1,0.0,-0.3106219470500946,-0.3786437213420868,6,0.95,0.05999999865889549,0.05000000074505806,0.07999999821186066,0.14000000059604645,0.07999999821186066,0.029999999329447746,0.03999999910593033,0.12999999523162842
11,0.43921685218811035,0.5288821458816528,0,1,1,0.0,-0.2798166573047638,-0.3673664629459381,5,0.95,0.07999999821186066,0.05000000074505806,0.07999999821186066,0.10999999940395355,0.07999999821186066,0.019999999552965164,0.09000000357627869,0.15000000596046448
12,0.44081351161003113,0.5166268348693848,0,1,1,0.0,-0.2798166573047638,-0.3501250743865967,6,0.95,0.07999999821186066,0.05000000074505806,0.07999999821186066,0.10999999940395355,0.07999999821186066,0.019999999552965164,0.09000000357627869,0.15000000596046448
13,0.44081351161003113,0.48856356739997864,0,1,1,0.0,-0.27347663044929504,-0.3227952718734741,4,0.95,0.07999999821186066,0.07000000029802322,0.15000000596046448,0.12999999523162842,0.07000000029802322,0.03999999910593033,0.03999999910593033,0.10000000149011612
14,0.42269471287727356,0.4668930172920227,0,1,1,0.0,-0.2464785873889923,-0.3053395450115204,5,0.95,0.05999999865889549,0.11999999731779099,0.11999999731779099,0.10999999940395355,0.11999999731779099,0.05000000074505806,0.10999999940395355,0.09000000357627869
15,0.3976686894893646,0.45555415749549866,0,1,1,0.0,-0.23647288978099823,-0.2856970429420471,4,0.95,0.09000000357627869,0.10999999940395355,0.11999999731779099,0.1599999964237213,0.11999999731779099,0.09000000357627869,0.10000000149011612,0.10000000149011612
16,0.3478034734725952,0.44118136167526245,0,1,1,0.0,-0.213242769241333,-0.26495978236198425,5,0.95,0.05999999865889549,0.09000000357627869,0.15000000596046448,0.10999999940395355,0.07000000029802322,0.05999999865889549,0.11999999731779099,0.18000000715255737
17,0.31481486558914185,0.4351620674133301,0,0,0,0.0,-0.20441876351833344,-0.25400078296661377,3,0.95,0.10000000149011612,0.12999999523162842,0.12999999523162842,0.11999999731779099,0.10999999940395355,0.05999999865889549,0.15000000596046448,0.10999999940395355
18,0.31395941972732544,0.42935317754745483,0,1,1,0.0,-0.20380555093288422,-0.24206337332725525,4,0.95,0.14000000059604645,0.11999999731779099,0.12999999523162842,0.18000000715255737,0.09000000357627869,0.05999999865889549,0.12999999523162842,0.18000000715255737
